half_year,bin,n,x_lo,x_hi,x_mean,y_mean,y_sd,se,ci_lo,ci_hi
2022 H2,32,1987,0.5629505333717509,0.6297865729477898,0.5957859732972083,-0.0006522447883441438,0.00964326628886365,0.00021633422193503875,,
2022 H2,33,1986,0.6297865729477898,0.6995396589957518,0.664108058030519,-0.0004422710394532034,0.010983417976598528,0.00024646081995878603,,
2022 H2,34,1986,0.6995396589957518,0.7781709265274652,0.7381748951281325,-0.0004757338047345975,0.011069176896214056,0.0002483851948384688,,
2022 H2,35,1987,0.7781709265274652,0.8640354662108174,0.8202045042491577,-0.0006505061180547792,0.011819941102394992,0.000265165109529079,,
2022 H2,36,1986,0.8640354662108174,0.9609853177172817,0.9105227234658165,-0.0004982459985087089,0.012009954249049472,0.00026949563225171194,,
2022 H2,37,1987,0.9609853177172817,1.078295636779338,1.0180590714545428,-0.00023630585625908216,0.011422729014480259,0.0002562541694587564,,
2022 H2,38,1986,1.078295636779338,1.2178694076308771,1.1450474342443446,-0.0005990578787661476,0.01165921715141083,0.0002616253178506611,,
2022 H2,39,1986,1.2178694076308771,1.4093949145123648,1.3096483359610265,-0.00023823126572456287,0.011410789103849335,0.0002560507525893536,,
2022 H2,40,1987,1.4093949145123648,1.6943524796939848,1.5386160391339254,-0.0006055522906644163,0.014473349108718099,0.0003246908904553002,,
2022 H2,41,1986,1.6943524796939848,2.2797412802069816,1.943279538587988,7.05608676931018e-06,0.012714611260818371,0.00028530768140437975,,
2022 H2,42,1987,2.2797412802069816,26.159943179110513,3.737080706322399,-0.0012714841706789127,0.012670746755866198,0.0002842518352865313,,
2023 H1,0,1995,-35.67744254201848,-2.2991445981163476,-3.808443706112453,0.0008317549333572322,0.010775603300416535,0.000241251567956724,,
2023 H1,1,1995,-2.2991445981163476,-1.699431827438175,-1.9571406978402461,0.0012690848912036124,0.013211482900069092,0.00029578770448536365,,
2023 H1,2,1994,-1.699431827438175,-1.4049716177439269,-1.5432116072497444,-0.00012109805800090723,0.01235122566630814,0.00027659700910598,,
2023 H1,3,1995,-1.4049716177439269,-1.2080151451660635,-1.3029423249136087,-0.0003033197553344651,0.012448105774626496,0.0002786966959059921,,
2023 H1,4,1995,-1.2080151451660635,-1.0592016896268708,-1.129829991618599,0.0002555381888061897,0.011817964033833518,0.00026458865213684106,,
2023 H1,5,1994,-1.0592016896268708,-0.9384946465254205,-0.9966897125452554,-0.0003131033969136679,0.011552883903677947,0.0002587187070043302,,
2023 H1,6,1995,-0.9384946465254205,-0.8365521601132088,-0.8860381624463365,-0.00023725929284821185,0.01208275949101385,0.00027051707372508784,,
2023 H1,7,1995,-0.8365521601132088,-0.75094257056421,-0.7928433213003044,-0.00039119912096394796,0.014374490737940941,0.00032182591845911836,,
2023 H1,8,1994,-0.75094257056421,-0.6742968469917798,-0.7118305444553745,-0.0007767010053238723,0.012251657380631395,0.00027436724739940524,,
2023 H1,9,1995,-0.6742968469917798,-0.6026918753865895,-0.6376015122293941,-0.00021733948521757195,0.012685822288896871,0.00028401885562160805,,
2023 H1,10,1995,-0.6026918753865895,-0.5361840325391564,-0.5689297379466591,-0.0005967126469986653,0.011734172667694803,0.00026271267379032753,,
2023 H1,11,1994,-0.5361840325391564,-0.4748663643561031,-0.5050904202696629,-8.060264802482582e-05,0.011878338029457492,0.0002660070231782773,,
2023 H1,12,1995,-0.4748663643561031,-0.41648017687891903,-0.4452489812195247,-0.00014735813962975074,0.011760565443325951,0.00026330357328117074,,
2023 H1,13,1995,-0.41648017687891903,-0.3599187223951772,-0.3881978046568219,0.00017593247439374145,0.011534463943069726,0.0002582414584340073,,
2023 H1,14,1994,-0.3599187223951772,-0.30621535797679916,-0.33275548327566046,-0.00020792576508584876,0.011517580965003276,0.00025792812253005396,,
2023 H1,15,1995,-0.30621535797679916,-0.25254018133489853,-0.2789521531650632,0.00022813801969301284,0.01163827755171675,0.00026056570842383124,,
2023 H1,16,1994,-0.25254018133489853,-0.2001831040959347,-0.22601874652720103,0.0005778909136956528,0.01199018080974641,0.0002685116635559847,,
2023 H1,17,1995,-0.2001831040959347,-0.1495284885074208,-0.174063807177633,-0.0001719221017969618,0.010637368634034769,0.000238156675811865,,
2023 H1,18,1995,-0.1495284885074208,-0.1003360508830762,-0.12534190410092527,-0.00013308817329073122,0.011522942366609674,0.0002579835055093471,,
2023 H1,19,1994,-0.1003360508830762,-0.05010101038372623,-0.07494054670151065,0.0002022731390033058,0.01149150339358655,0.0002573441336650226,,
