symbol,holding_hours,arithmetic_contribution,log_return_contribution,mean_hourly_return,hourly_volatility,positive_hour_rate,worst_hour,best_hour,share_of_rank_1_hours,share_of_arithmetic_contribution
LINKUSDT,466,0.4594872401891841,0.4210004881164024,0.0009860241205776482,0.012839008924529908,0.5257510729613734,-0.052888888888888985,0.04946256148660977,0.009677888309692425,0.05673677495988204
KITEUSDT,165,0.4561347438299418,0.42375293026835315,0.002764452992908738,0.019800053888568578,0.5151515151515151,-0.04995287464655984,0.09219088937093267,0.0034267201096550436,0.05632281388577291
MASKUSDT,250,0.44243159726295345,0.3787967788496637,0.0017697263890518139,0.02264851858788325,0.508,-0.09600903614457845,0.08906711692697344,0.005192000166144005,0.05463077050564904
APTUSDT,282,0.4267485200527239,0.38657322336141753,0.0015132926243004393,0.017030665605639792,0.5,-0.07313152297571357,0.1218364072779734,0.005856576187410438,0.05269424834675538
LITUSDT,36,0.412348544801582,0.38730568018155415,0.01145412624448839,0.037165819268502986,0.5555555555555556,-0.03878417053192529,0.14645050809569216,0.0007476480239247367,0.05091616163663145
GALAUSDT,458,0.4051474328855721,0.3170303145966236,0.0008846013818462273,0.0196787048142053,0.4868995633187773,-0.11047740793549332,0.10183658712942889,0.009511744304375817,0.050026979455922015
FOGOUSDT,94,0.40214517690570295,0.38447120260023543,0.004278140179847904,0.019219200057353693,0.5212765957446809,-0.03299023489047248,0.07186358099878176,0.001952192062470146,0.04965626552307883
C98USDT,121,0.39481626792165636,0.35617697400429715,0.0032629443629888957,0.025498394311751806,0.5371900826446281,-0.07682880616629972,0.13575535240574754,0.0025129280804136985,0.04875130315772978
ALTUSDT,113,0.3923561950087855,0.36904963325145157,0.003472178716891907,0.020383160096267776,0.5929203539823009,-0.047691208005718466,0.12826890756302523,0.00234678407509709,0.048447537152856636
BURGERUSDT,86,0.3845417495014495,0.34111534836672214,0.00447141569187732,0.03238589158337009,0.4418604651162791,-0.06947296372347722,0.16292569659442724,0.001786048057153538,0.04748262148729117
SUSHIUSDT,106,0.3727562276314501,0.3518138575486997,0.0035165681852023594,0.019766641661022145,0.5377358490566038,-0.04416828866596789,0.07090909090909081,0.0022014080704450584,0.046027363443895644
VETUSDT,142,0.36602394490979107,0.3227065758111386,0.0025776334148576835,0.02499126890869888,0.5211267605633803,-0.06434139252212978,0.13309491059147183,0.002949056094369795,0.045196071568221786
BOMEUSDT,318,0.3575212228454616,0.29403036345735667,0.0011242805749857284,0.020108896966872555,0.5125786163522013,-0.08992309209228944,0.12350768702224513,0.006604224211335175,0.04414616857611332
PHAUSDT,132,0.35373556324673583,0.31424174695476675,0.002679814873081332,0.024791165451261175,0.4772727272727273,-0.06393442622950818,0.14096539940196506,0.002741376087724035,0.0436787211740066
STGUSDT,119,0.34934641569414504,0.31341139181280375,0.002935684165497017,0.02479782012939736,0.5462184873949579,-0.06329411764705872,0.12780898876404478,0.0024713920790845464,0.04313675601115566
SOLUSDT,1019,0.34531470191256175,0.19833879884787325,0.0003388760568327397,0.01707171942944972,0.5103042198233563,-0.15423079059947786,0.16653177814805997,0.021162592677202965,0.04263892621846291
AVAXUSDT,727,0.33637117692944396,0.261013136294158,0.00046268387473100955,0.014426152105452358,0.48418156808803303,-0.06256719796284071,0.07516519823788537,0.015098336483146768,0.041534593562552125
DOTUSDT,389,0.3294312625422646,0.27522671200338406,0.0008468669988233023,0.016854095459367842,0.5167095115681234,-0.052021674654920025,0.13775554281495683,0.008078752258520071,0.0406776636494078
DENTUSDT,54,0.30925742723007843,0.29120151157134627,0.005726989393149601,0.025777520026631143,0.6111111111111112,-0.038663848834009085,0.08659495077802482,0.0011214720358871052,0.038186629613916494
LDOUSDT,212,0.30663697668616874,0.2713438466435822,0.0014464008334253242,0.018398010661040565,0.5047169811320755,-0.05817452357071207,0.10307109802271786,0.004402816140890117,0.03786306042678936
PLUMEUSDT,51,0.3016506285468715,0.29191236363806583,0.005914718206801403,0.019048042797321935,0.5882352941176471,-0.030515463917525687,0.07171052631578934,0.0010591680338933771,0.037247353857583106
PNUTUSDT,339,0.299453892692246,0.2369667751970381,0.0008833448162013156,0.019364593349612987,0.46017699115044247,-0.04851704293935366,0.11074918566775249,0.0070403522252912715,0.036976104306063726
FISUSDT,32,0.29721170094904514,0.2816090319994736,0.00928786565465766,0.031530872011867404,0.5625,-0.024014499320344385,0.15391459074733072,0.0006645760212664327,0.036699241931607986
SAGAUSDT,69,0.2821336418891165,0.273354240226329,0.004088893360711833,0.01570102253861534,0.5507246376811594,-0.025390892100105034,0.06958657388456824,0.0014329920458557455,0.03483742647975179
MAGICUSDT,102,0.2789275589108432,0.2610806736966156,0.0027345839108906195,0.018807115660398343,0.5,-0.04753070945099025,0.10370875518019207,0.0021183360677867543,0.034441544303859144
SPKUSDT,60,0.2778289153728918,0.26117827319709724,0.0046304819228815295,0.02355115447399381,0.48333333333333334,-0.053855866736728264,0.08339904326341774,0.0012460800398745612,0.034305885496123345
PEOPLEUSDT,396,0.27440045016956616,0.19248244826155814,0.0006929304297211267,0.020569249527824896,0.47474747474747475,-0.053097345132743334,0.14507772020725396,0.008224128263172105,0.033882543906444414
TIAUSDT,224,0.26340128316555533,0.22294696846480946,0.0011758985855605149,0.0190832027762834,0.48214285714285715,-0.056914126436222845,0.07759584711546386,0.004652032148865028,0.032524383747751476
