symbol,holding_hours,arithmetic_contribution,log_return_contribution,mean_hourly_return,hourly_volatility,positive_hour_rate,worst_hour,best_hour,share_of_rank_1_hours,share_of_arithmetic_contribution
FIROUSDT,16,0.11495339888232359,0.11056727166356999,0.007184587430145224,0.02334197021331619,0.4375,-0.03263988522238159,0.06294227188081947,0.00033228801063321634,0.01419426820334471
AXSUSDT,230,0.11014520562907226,0.04633858568028933,0.0004788921983872707,0.024026420293580066,0.4826086956521739,-0.06214442013129118,0.19701816922899407,0.0047766401528524845,0.013600559924392235
MATICUSDT,521,0.10399191394967411,-0.0031182389728030852,0.0001996006025905453,0.020457771636706683,0.46257197696737046,-0.08289379232857907,0.1362556300315636,0.010820128346244106,0.012840760968641502
REQUSDT,50,0.10332931649537402,0.07122425320284123,0.0020665863299074803,0.03654392088194264,0.44,-0.11129537497696695,0.14041867954911447,0.001038400033228801,0.012758944458049966
OMGUSDT,65,0.10145976402489876,0.09244032287650705,0.001560919446536904,0.01685369684113392,0.46153846153846156,-0.024399352670235297,0.058394160583941535,0.0013499200431974414,0.012528095005626926
BNBUSDT,653,0.1010027166875671,0.0703072268619777,0.00015467491070071532,0.009729219293787155,0.49617151607963245,-0.0480822764143608,0.08759407114624507,0.013561504433968141,0.012471659506104626
LUNCUSDT,407,0.09935300412829218,0.011893266050191045,0.00024411057525378912,0.020753274939144358,0.4963144963144963,-0.09962152800051327,0.09957335304195913,0.00845257627048244,0.012267955546478816
SANDUSDT,303,0.09759969116176892,0.03370124682227061,0.0003221111919530327,0.020690755656476264,0.44554455445544555,-0.08081232319988141,0.08998548621190139,0.006292704201366534,0.01205145916852735
WINUSDT,58,0.0975959656761316,0.07586480521034113,0.0016826890633815793,0.027999544952571412,0.5,-0.045426067106267065,0.1257931607839302,0.0012045440385454092,0.012050999151313089
HMSTRUSDT,30,0.09413340944423565,0.08444936361859492,0.003137780314807855,0.02585421555106542,0.5333333333333333,-0.053262316910785534,0.07311723129417502,0.0006230400199372806,0.011623448054063616
NEWTUSDT,35,0.0933638872087369,0.09185974762235923,0.0026675396345353397,0.009052207277886002,0.45714285714285713,-0.009408997353719584,0.02201887331998842,0.0007268800232601608,0.011528428636583944
BTTUSDT,60,0.08925886482044121,0.07215540794939294,0.0014876477470073535,0.024479893616887766,0.5333333333333333,-0.03995932031018268,0.12545569620253172,0.0012460800398745612,0.01102154681032449
TWTUSDT,155,0.08894243148653014,0.07259189923885212,0.0005738221386227751,0.014617254362916152,0.43870967741935485,-0.05813656668793876,0.06029264572708648,0.0032190401030092832,0.010982474110833368
KEYUSDT,55,0.08891597873867652,0.0756028862470705,0.0016166541588850275,0.022155078713000632,0.5272727272727272,-0.08194774346793354,0.06292273006763671,0.0011422400365516813,0.010979207766372042
PENGUUSDT,315,0.08840506402826387,0.03664831961573436,0.0002806509969151234,0.018228428769600864,0.4666666666666667,-0.07719339808892056,0.09064696341683187,0.006541920209341447,0.010916120806794143
ADAUSDT,616,0.08788741368458974,0.03181410488303762,0.00014267437286459374,0.013489396054475206,0.4902597402597403,-0.08394925537782671,0.061243571762505944,0.012793088409378829,0.010852202141621085
HFTUSDT,20,0.08767349895547794,0.08344359248194505,0.004383674947773896,0.0210303497617173,0.5,-0.019565217391304346,0.07958211706867413,0.0004153600132915204,0.010825788281159533
LQTYUSDT,67,0.0875290731969286,0.07176315601601907,0.0013064040775660985,0.021933615682193,0.4925373134328358,-0.05975049244911357,0.08586387434554976,0.0013914560445265935,0.010807954811490494
SUSDT,77,0.0874446811185039,0.07408724870567746,0.0011356452093312195,0.01911352793649715,0.44155844155844154,-0.03091028159790432,0.120205228438798,0.0015991360511723536,0.01079753420794989
ORDIUSDT,297,0.08158351392359786,0.03614344511271833,0.00027469196607272006,0.017543135953341314,0.4781144781144781,-0.06584673972176891,0.06727797760778143,0.006168096197379078,0.01007380633249744
MBOXUSDT,43,0.08132097834158103,0.07265971571756481,0.0018911855428274658,0.02048564530863628,0.5116279069767442,-0.03754317465084844,0.07300533833501666,0.000893024028576769,0.010041388844190872
OMUSDT,120,0.07934437546757145,0.05866131735035986,0.0006612031288964288,0.018876140750199763,0.43333333333333335,-0.06700348851196936,0.09584202921817297,0.0024921600797491224,0.009797320973227656
CELRUSDT,22,0.07719397074256651,0.0745287072427411,0.0035088168519348414,0.015650304914132458,0.5454545454545454,-0.021130480718436262,0.04414023372287157,0.00045689601462067244,0.009531792318057519
PARTIUSDT,41,0.07651142190156002,0.07129255321873398,0.0018661322415014637,0.016086198715337924,0.5365853658536586,-0.03253424657534232,0.043368633383761956,0.0008514880272476169,0.009447512241040864
LRCUSDT,84,0.07569078356381165,0.05058807510621646,0.0009010807567120435,0.024642858629265126,0.5238095238095238,-0.05208202684058705,0.06191719507646387,0.0017445120558243858,0.009346181086179827
TREEUSDT,17,0.07487907196865728,0.07295530621275309,0.0044046512922739575,0.014996976168353479,0.5882352941176471,-0.014386792452830144,0.049350649350649256,0.0003530560112977924,0.009245952191711206
NIGHTUSDT,77,0.07467671509994134,0.06835662374450376,0.0009698274688304069,0.012886431927198577,0.5324675324675324,-0.045304388862671074,0.04619852164730731,0.0015991360511723536,0.009220965478005737
ESPUSDT,32,0.07467204467946043,0.07341796171462053,0.0023335013962331383,0.008696382181724478,0.5625,-0.015390355377296827,0.019554956169925752,0.0006645760212664327,0.009220388781695989
DEGOUSDT,34,0.07198790707924074,0.0701647739643733,0.0021172913846835514,0.01027863326019049,0.6764705882352942,-0.028004073319755518,0.021500000000000075,0.0007061120225955848,0.00888895561518995
ALPHAUSDT,21,0.0708287923382317,0.06674421784185548,0.00337279963515389,0.019930007705360755,0.7142857142857143,-0.0413630690427752,0.04101209135691897,0.00043612801395609646,0.008745829916669497
FLOKIUSDT,201,0.06037973712529865,0.009640637341691892,0.00030039670211591367,0.02295741372451299,0.46766169154228854,-0.06825835256725565,0.1581068210125285,0.00417436813357978,0.007455596712553811
WLFIUSDT,38,0.059913580826235546,0.05780392255970972,0.0015766731796377775,0.010521413789344708,0.6578947368421053,-0.037469586374695774,0.02132816286960737,0.0007891840252538888,0.007398036452501356
RAYUSDT,17,0.05918304329947299,0.05237126253617957,0.0034813554882042936,0.029652766117444312,0.5882352941176471,-0.03125,0.10348757693184418,0.0003530560112977924,0.007307830806663159
VGXUSDT,129,0.05685220499211374,0.003610660706840404,0.0004407147673807267,0.02924224599121709,0.40310077519379844,-0.0650095602294456,0.1480938416422286,0.0026790720857303068,0.007020022491337438
JOEUSDT,21,0.05493664966957945,0.05468064784247624,0.0026160309366466405,0.00430195203657207,0.6666666666666666,-0.006196616982079961,0.00899788285109393,0.00043612801395609646,0.006783492677771593
CFXUSDT,317,0.05297300411034589,-0.01444376936607122,0.00016710726848689556,0.020934197181949124,0.42586750788643535,-0.10096618357487919,0.1780612244897959,0.006583456210670599,0.006541024756030534
MDXUSDT,82,0.051185053010346926,0.03192087477332827,0.0006242079635408161,0.02188968953142958,0.5365853658536586,-0.050493325594892724,0.08369230769230773,0.0017029760544952338,0.006320251314839549
MOVEUSDT,76,0.05105937585918163,0.02881855045795139,0.0006718338928839688,0.024274307435018884,0.47368421052631576,-0.0951015829490216,0.06578012384529508,0.0015783680505077776,0.006304732894262019
KEEPUSDT,10,0.0471991500603417,0.046721265443512926,0.0047199150060341696,0.009072895149903719,0.6,-0.008481110254433322,0.019251194901752644,0.0002076800066457602,0.005828078172897098
EIGENUSDT,42,0.04695073018544538,0.04017062561227472,0.0011178745282248899,0.018276600318827003,0.40476190476190477,-0.030905670518677875,0.05485564304461943,0.0008722560279121929,0.005797403670310799
STRKUSDT,64,0.044034997796273734,0.02120629087351809,0.0006880468405667771,0.027136292120816162,0.46875,-0.04909013965298359,0.08401639344262302,0.0013291520425328654,0.005437373536852558
JTOUSDT,41,0.0434857879408842,0.03766325251744336,0.0010606289741679075,0.01705625492815001,0.4146341463414634,-0.04363899963754991,0.04214559386973171,0.0008514880272476169,0.005369557951901481
INJUSDT,121,0.04342216744192273,0.03361567680585541,0.00035886088794977465,0.012797721435026041,0.5041322314049587,-0.032437996744230535,0.03564277132559068,0.0025129280804136985,0.005361702190921206
LISTAUSDT,42,0.03925837304008739,0.03218420620430804,0.0009347231676211284,0.01852038067077577,0.5714285714285714,-0.048478319418260196,0.0405094368574499,0.0008722560279121929,0.0048475632871751925
